Data Level,SCHOOL_YEAR,REPORTING_PERIOD,DISTRICT_NUMBER,DISTRICT_NAME,EMPLOYMENT_CATEGORY,GENDER,HEADCOUNT,FTE_VALUE,AVERAGE_AGE,AVERAGE_ANNUAL_SALARY_PER_FTE
District Level,2013/2014,Q1,5,Southeast Kootenay,Administrator,All,35.0,35.0,50.0,103120.0
District Level,2013/2014,Q1,5,Southeast Kootenay,Administrator,Male,20.0,20.0,50.0,102543.0
District Level,2013/2014,Q1,5,Southeast Kootenay,Administrator,Female,15.0,15.0,50.0,103889.0
District Level,2013/2014,Q1,5,Southeast Kootenay,Educator,All,367.0,344.476,45.0,72482.0
District Level,2013/2014,Q1,5,Southeast Kootenay,Educator,Male,97.0,94.302,46.0,77907.0
District Level,2013/2014,Q1,5,Southeast Kootenay,Educator,Female,270.0,250.174,45.0,70606.0
District Level,2013/2014,Q1,5,Southeast Kootenay,Teacher,All,332.0,309.476,45.0,69807.0
District Level,2013/2014,Q1,5,Southeast Kootenay,Teacher,Male,77.0,74.302,45.0,72552.0
District Level,2013/2014,Q1,5,Southeast Kootenay,Teacher,Female,255.0,235.174,45.0,68990.0
District Level,2013/2014,Q4,5,Southeast Kootenay,Administrator,All,33.0,33.0,49.0,102263.0
District Level,2013/2014,Q4,5,Southeast Kootenay,Administrator,Male,18.0,18.0,49.0,102536.0
District Level,2013/2014,Q4,5,Southeast Kootenay,Administrator,Female,15.0,15.0,49.0,101939.0
District Level,2013/2014,Q4,5,Southeast Kootenay,Educator,All,392.0,361.173,45.0,71389.0
District Level,2013/2014,Q4,5,Southeast Kootenay,Educator,Male,97.0,93.015,46.0,76926.0
District Level,2013/2014,Q4,5,Southeast Kootenay,Educator,Female,295.0,268.158,45.0,69675.0
District Level,2013/2014,Q4,5,Southeast Kootenay,Teacher,All,359.0,328.173,45.0,68853.0
District Level,2013/2014,Q4,5,Southeast Kootenay,Teacher,Male,79.0,75.015,45.0,71519.0
District Level,2013/2014,Q4,5,Southeast Kootenay,Teacher,Female,280.0,253.158,45.0,68138.0
District Level,2013/2014,Q1,6,Rocky Mountain,Administrator,All,28.0,27.2,48.0,101837.0
District Level,2013/2014,Q1,6,Rocky Mountain,Administrator,Male,12.0,11.2,50.0,103164.0
District Level,2013/2014,Q1,6,Rocky Mountain,Administrator,Female,16.0,16.0,47.0,100841.0
District Level,2013/2014,Q1,6,Rocky Mountain,Educator,All,212.0,196.4305,44.0,71702.0
District Level,2013/2014,Q1,6,Rocky Mountain,Educator,Male,62.0,57.5197,46.0,75432.0
District Level,2013/2014,Q1,6,Rocky Mountain,Educator,Female,150.0,138.9108,43.0,70133.0
District Level,2013/2014,Q1,6,Rocky Mountain,Teacher,All,184.0,169.2305,43.0,67586.0
District Level,2013/2014,Q1,6,Rocky Mountain,Teacher,Male,50.0,46.3197,45.0,69593.0
District Level,2013/2014,Q1,6,Rocky Mountain,Teacher,Female,134.0,122.9108,42.0,66814.0
District Level,2013/2014,Q4,6,Rocky Mountain,Administrator,All,28.0,27.2,49.0,101694.0
District Level,2013/2014,Q4,6,Rocky Mountain,Administrator,Male,11.0,10.2,50.0,103421.0
District Level,2013/2014,Q4,6,Rocky Mountain,Administrator,Female,17.0,17.0,48.0,100576.0
District Level,2013/2014,Q4,6,Rocky Mountain,Educator,All,212.0,197.0495,44.0,72270.0
District Level,2013/2014,Q4,6,Rocky Mountain,Educator,Male,61.0,56.4173,46.0,75050.0
District Level,2013/2014,Q4,6,Rocky Mountain,Educator,Female,151.0,140.6322,44.0,71162.0
District Level,2013/2014,Q4,6,Rocky Mountain,Teacher,All,184.0,169.8495,43.0,68290.0
District Level,2013/2014,Q4,6,Rocky Mountain,Teacher,Male,50.0,46.2173,45.0,69477.0
District Level,2013/2014,Q4,6,Rocky Mountain,Teacher,Female,134.0,123.6322,43.0,67850.0
District Level,2013/2014,Q1,8,Kootenay Lake,Administrator,All,35.0,35.0,50.0,98303.0
District Level,2013/2014,Q1,8,Kootenay Lake,Administrator,Male,19.0,19.0,50.0,100171.0
District Level,2013/2014,Q1,8,Kootenay Lake,Administrator,Female,16.0,16.0,50.0,96084.0
District Level,2013/2014,Q1,8,Kootenay Lake,Educator,All,324.0,292.2885,46.0,73628.0
District Level,2013/2014,Q1,8,Kootenay Lake,Educator,Male,112.0,104.036,47.0,76555.0
District Level,2013/2014,Q1,8,Kootenay Lake,Educator,Female,212.0,188.2525,46.0,72134.0
District Level,2013/2014,Q1,8,Kootenay Lake,Teacher,All,289.0,257.2885,46.0,70904.0
District Level,2013/2014,Q1,8,Kootenay Lake,Teacher,Male,93.0,85.036,47.0,72068.0
District Level,2013/2014,Q1,8,Kootenay Lake,Teacher,Female,196.0,172.2525,46.0,70368.0
District Level,2013/2014,Q4,8,Kootenay Lake,Administrator,All,35.0,35.0,51.0,98303.0
District Level,2013/2014,Q4,8,Kootenay Lake,Administrator,Male,18.0,18.0,51.0,100567.0
District Level,2013/2014,Q4,8,Kootenay Lake,Administrator,Female,17.0,17.0,51.0,95905.0
District Level,2013/2014,Q4,8,Kootenay Lake,Educator,All,323.0,288.4825,47.0,73613.0
District Level,2013/2014,Q4,8,Kootenay Lake,Educator,Male,112.0,104.171,48.0,76286.0
District Level,2013/2014,Q4,8,Kootenay Lake,Educator,Female,211.0,184.3115,47.0,72270.0
District Level,2013/2014,Q4,8,Kootenay Lake,Teacher,All,288.0,253.4825,47.0,70895.0
District Level,2013/2014,Q4,8,Kootenay Lake,Teacher,Male,94.0,86.171,48.0,71916.0
District Level,2013/2014,Q4,8,Kootenay Lake,Teacher,Female,194.0,167.3115,46.0,70427.0
District Level,2013/2014,Q1,10,Arrow Lakes,Administrator,All,,,,
District Level,2013/2014,Q1,10,Arrow Lakes,Administrator,Male,,,,
District Level,2013/2014,Q1,10,Arrow Lakes,Administrator,Female,,,,
District Level,2013/2014,Q1,10,Arrow Lakes,Educator,All,48.0,43.2858,48.0,74019.0
District Level,2013/2014,Q1,10,Arrow Lakes,Educator,Male,13.0,11.5986,43.0,72263.0
District Level,2013/2014,Q1,10,Arrow Lakes,Educator,Female,35.0,31.6872,49.0,74697.0
District Level,2013/2014,Q1,10,Arrow Lakes,Teacher,All,41.0,36.2858,47.0,69225.0
District Level,2013/2014,Q1,10,Arrow Lakes,Teacher,Male,12.0,10.5986,42.0,68654.0
District Level,2013/2014,Q1,10,Arrow Lakes,Teacher,Female,29.0,25.6872,49.0,69456.0
District Level,2013/2014,Q4,10,Arrow Lakes,Administrator,All,,,,
District Level,2013/2014,Q4,10,Arrow Lakes,Administrator,Male,,,,
District Level,2013/2014,Q4,10,Arrow Lakes,Administrator,Female,,,,
District Level,2013/2014,Q4,10,Arrow Lakes,Educator,All,45.0,40.7397,48.0,74369.0
District Level,2013/2014,Q4,10,Arrow Lakes,Educator,Male,13.0,11.1592,42.0,71384.0
District Level,2013/2014,Q4,10,Arrow Lakes,Educator,Female,32.0,29.5805,50.0,75670.0
District Level,2013/2014,Q4,10,Arrow Lakes,Teacher,All,38.0,33.7397,47.0,69132.0
District Level,2013/2014,Q4,10,Arrow Lakes,Teacher,Male,12.0,10.1592,42.0,67659.0
District Level,2013/2014,Q4,10,Arrow Lakes,Teacher,Female,26.0,23.5805,49.0,69823.0
District Level,2013/2014,Q1,19,Revelstoke,Administrator,All,,,,
District Level,2013/2014,Q1,19,Revelstoke,Administrator,Male,,,,
District Level,2013/2014,Q1,19,Revelstoke,Administrator,Female,,,,
District Level,2013/2014,Q1,19,Revelstoke,Educator,All,73.0,68.208,42.0,71042.0
District Level,2013/2014,Q1,19,Revelstoke,Educator,Male,23.0,22.929,47.0,81031.0
District Level,2013/2014,Q1,19,Revelstoke,Educator,Female,50.0,45.279,40.0,67213.0
