Data Level,SCHOOL_YEAR,REPORTING_PERIOD,DISTRICT_NUMBER,DISTRICT_NAME,EMPLOYMENT_CATEGORY,GENDER,HEADCOUNT,FTE_VALUE,AVERAGE_AGE,AVERAGE_ANNUAL_SALARY_PER_FTE
District Level,2013/2014,Q1,5,Southeast Kootenay,Administrator,All,35,35,50,103120
District Level,2013/2014,Q1,5,Southeast Kootenay,Administrator,Male,20,20,50,102543
District Level,2013/2014,Q1,5,Southeast Kootenay,Administrator,Female,15,15,50,103889
District Level,2013/2014,Q1,5,Southeast Kootenay,Educator,All,367,344.476,45,72482
District Level,2013/2014,Q1,5,Southeast Kootenay,Educator,Male,97,94.302,46,77907
District Level,2013/2014,Q1,5,Southeast Kootenay,Educator,Female,270,250.174,45,70606
District Level,2013/2014,Q1,5,Southeast Kootenay,Teacher,All,332,309.476,45,69807
District Level,2013/2014,Q1,5,Southeast Kootenay,Teacher,Male,77,74.302,45,72552
District Level,2013/2014,Q1,5,Southeast Kootenay,Teacher,Female,255,235.174,45,68990
District Level,2013/2014,Q4,5,Southeast Kootenay,Administrator,All,33,33,49,102263
District Level,2013/2014,Q4,5,Southeast Kootenay,Administrator,Male,18,18,49,102536
District Level,2013/2014,Q4,5,Southeast Kootenay,Administrator,Female,15,15,49,101939
District Level,2013/2014,Q4,5,Southeast Kootenay,Educator,All,392,361.173,45,71389
District Level,2013/2014,Q4,5,Southeast Kootenay,Educator,Male,97,93.015,46,76926
District Level,2013/2014,Q4,5,Southeast Kootenay,Educator,Female,295,268.158,45,69675
District Level,2013/2014,Q4,5,Southeast Kootenay,Teacher,All,359,328.173,45,68853
District Level,2013/2014,Q4,5,Southeast Kootenay,Teacher,Male,79,75.015,45,71519
District Level,2013/2014,Q4,5,Southeast Kootenay,Teacher,Female,280,253.158,45,68138
District Level,2013/2014,Q1,6,Rocky Mountain,Administrator,All,28,27.2,48,101837
District Level,2013/2014,Q1,6,Rocky Mountain,Administrator,Male,12,11.2,50,103164
District Level,2013/2014,Q1,6,Rocky Mountain,Administrator,Female,16,16,47,100841
District Level,2013/2014,Q1,6,Rocky Mountain,Educator,All,212,196.4305,44,71702
District Level,2013/2014,Q1,6,Rocky Mountain,Educator,Male,62,57.5197,46,75432
District Level,2013/2014,Q1,6,Rocky Mountain,Educator,Female,150,138.9108,43,70133
District Level,2013/2014,Q1,6,Rocky Mountain,Teacher,All,184,169.2305,43,67586
District Level,2013/2014,Q1,6,Rocky Mountain,Teacher,Male,50,46.3197,45,69593
District Level,2013/2014,Q1,6,Rocky Mountain,Teacher,Female,134,122.9108,42,66814
District Level,2013/2014,Q4,6,Rocky Mountain,Administrator,All,28,27.2,49,101694
District Level,2013/2014,Q4,6,Rocky Mountain,Administrator,Male,11,10.2,50,103421
District Level,2013/2014,Q4,6,Rocky Mountain,Administrator,Female,17,17,48,100576
District Level,2013/2014,Q4,6,Rocky Mountain,Educator,All,212,197.0495,44,72270
District Level,2013/2014,Q4,6,Rocky Mountain,Educator,Male,61,56.4173,46,75050
District Level,2013/2014,Q4,6,Rocky Mountain,Educator,Female,151,140.6322,44,71162
District Level,2013/2014,Q4,6,Rocky Mountain,Teacher,All,184,169.8495,43,68290
